,month,cow_id,iso_alpha3,gw_id,country,FEATUREID,border_change
107446,1956-11-01,345,YUG,345,Yugoslavia,191,0.0
107447,1956-12-01,345,YUG,345,Yugoslavia,191,0.0
107448,1957-01-01,345,YUG,345,Yugoslavia,191,0.0
107449,1957-02-01,345,YUG,345,Yugoslavia,191,0.0
107450,1957-03-01,345,YUG,345,Yugoslavia,191,0.0
107451,1957-04-01,345,YUG,345,Yugoslavia,191,0.0
107452,1957-05-01,345,YUG,345,Yugoslavia,191,0.0
107453,1957-06-01,345,YUG,345,Yugoslavia,191,0.0
107454,1957-07-01,345,YUG,345,Yugoslavia,191,0.0
107455,1957-08-01,345,YUG,345,Yugoslavia,191,0.0
107456,1957-09-01,345,YUG,345,Yugoslavia,191,0.0
107457,1957-10-01,345,YUG,345,Yugoslavia,191,0.0
107458,1957-11-01,345,YUG,345,Yugoslavia,191,0.0
107459,1957-12-01,345,YUG,345,Yugoslavia,191,0.0
107460,1958-01-01,345,YUG,345,Yugoslavia,191,0.0
107461,1958-02-01,345,YUG,345,Yugoslavia,191,0.0
107462,1958-03-01,345,YUG,345,Yugoslavia,191,0.0
107463,1958-04-01,345,YUG,345,Yugoslavia,191,0.0
107464,1958-05-01,345,YUG,345,Yugoslavia,191,0.0
107465,1958-06-01,345,YUG,345,Yugoslavia,191,0.0
107466,1958-07-01,345,YUG,345,Yugoslavia,191,0.0
107467,1958-08-01,345,YUG,345,Yugoslavia,191,0.0
107468,1958-09-01,345,YUG,345,Yugoslavia,191,0.0
107469,1958-10-01,345,YUG,345,Yugoslavia,191,0.0
107470,1958-11-01,345,YUG,345,Yugoslavia,191,0.0
107471,1958-12-01,345,YUG,345,Yugoslavia,191,0.0
107472,1959-01-01,345,YUG,345,Yugoslavia,191,0.0
107473,1959-02-01,345,YUG,345,Yugoslavia,191,0.0
107474,1959-03-01,345,YUG,345,Yugoslavia,191,0.0
107475,1959-04-01,345,YUG,345,Yugoslavia,191,0.0
107476,1959-05-01,345,YUG,345,Yugoslavia,191,0.0
107477,1959-06-01,345,YUG,345,Yugoslavia,191,0.0
107478,1959-07-01,345,YUG,345,Yugoslavia,191,0.0
107479,1959-08-01,345,YUG,345,Yugoslavia,191,0.0
107480,1959-09-01,345,YUG,345,Yugoslavia,191,0.0
107481,1959-10-01,345,YUG,345,Yugoslavia,191,0.0
107482,1959-11-01,345,YUG,345,Yugoslavia,191,0.0
107483,1959-12-01,345,YUG,345,Yugoslavia,191,0.0
107484,1960-01-01,345,YUG,345,Yugoslavia,191,0.0
107485,1960-02-01,345,YUG,345,Yugoslavia,191,0.0
107486,1960-03-01,345,YUG,345,Yugoslavia,191,0.0
107487,1960-04-01,345,YUG,345,Yugoslavia,191,0.0
107488,1960-05-01,345,YUG,345,Yugoslavia,191,0.0
107489,1960-06-01,345,YUG,345,Yugoslavia,191,0.0
107490,1960-07-01,345,YUG,345,Yugoslavia,191,0.0
107491,1960-08-01,345,YUG,345,Yugoslavia,191,0.0
107492,1960-09-01,345,YUG,345,Yugoslavia,191,0.0
107493,1960-10-01,345,YUG,345,Yugoslavia,191,0.0
107494,1960-11-01,345,YUG,345,Yugoslavia,191,0.0
107495,1960-12-01,345,YUG,345,Yugoslavia,191,0.0
107496,1961-01-01,345,YUG,345,Yugoslavia,191,0.0
